conversation_id,operator_id,created_at
session_000250f1-d1d1-4cdd-be95-759a588bad79,fc4c2882-61c8-4da6-aa62-673416f7d96d,2019-03-02 21:57
session_00040e94-7044-44e1-b768-e329ad2ac909,0f286ad2-5939-4c36-9327-e3af45e28672,2019-03-10 19:40
session_00138cf0-1e19-4d68-a69e-dcda7de1bd01,,2019-03-12 18:17
session_0017ebb1-9abd-481f-b264-a9ac8286d699,,2019-01-19 19:36
session_00245d7c-65d3-4616-9f9f-e8545c311051,,2019-03-04 3:33
session_002b838c-41d1-48dc-b861-3d2f0dca3d01,02a9d66a-90ae-4430-ad4d-8ca69af6e7d1,2019-04-15 11:53
session_002ee9d2-f2e7-48c7-acec-02413920ae62,ffe1158c-b421-4b69-8919-efdb9a5acd48,2019-03-20 14:49
session_0030b289-2db2-4ecc-af64-6d88a7d308f1,,2019-03-10 21:20
session_003430b4-c1f8-4bc3-b2ea-bbb2449d1d63,ca8ad6fc-064d-40d8-8745-5fd74921ec90,2019-01-22 2:39
session_00377e90-a62d-44c2-a3b3-469face5399f,dae4ad21-6273-4885-a975-e2155d173425,2019-02-11 9:36
session_003e914a-0590-41e7-96d7-1dac85d0ea05,8b7f7aeb-ae27-4577-ad53-06f6b2e4dfeb,2019-01-29 8:43
session_0041881c-96b8-417d-8ff8-3b1ddc48f264,,2019-03-21 2:45
session_0045be32-efa7-4fe0-9777-1bdb73d052a6,f0feaceb-9eba-438c-ad0f-f4d2ec861962,2019-04-22 14:55
session_0058435d-a4a9-4b34-bd92-d1a7833ece4b,563f8aea-0b7f-4cf1-9b68-3c59000b1f9d,2019-03-27 2:51
session_006c5cbf-5b42-4476-b119-58f88a3da64f,8717023b-e34b-4f29-8d27-bd35802c2a8a,2018-12-27 20:01
session_006f5127-2cb8-4fdb-ae55-4ee73e75e6ea,02a9d66a-90ae-4430-ad4d-8ca69af6e7d1,2019-03-28 3:32